2024-05-09 23:17:16,862 INFO    StreamThr :15076 [internal.py:wandb_internal():86] W&B internal server running at pid: 15076, started at: 2024-05-09 23:17:16.858520
2024-05-09 23:17:16,864 DEBUG   HandlerThread:15076 [handler.py:handle_request():146] handle_request: status
2024-05-09 23:17:16,865 INFO    WriterThread:15076 [datastore.py:open_for_write():87] open: c:\Users\eriki\OneDrive\Documents\all_folder\other_projects\VideoFinder\wandb\run-20240509_231711-59kbihd1\run-59kbihd1.wandb
2024-05-09 23:17:16,865 DEBUG   SenderThread:15076 [sender.py:send():379] send: header
2024-05-09 23:17:16,865 DEBUG   SenderThread:15076 [sender.py:send():379] send: run
2024-05-09 23:17:17,352 INFO    SenderThread:15076 [dir_watcher.py:__init__():211] watching files in: c:\Users\eriki\OneDrive\Documents\all_folder\other_projects\VideoFinder\wandb\run-20240509_231711-59kbihd1\files
2024-05-09 23:17:17,352 INFO    SenderThread:15076 [sender.py:_start_run_threads():1124] run started: 59kbihd1 with start time 1715285836.020136
2024-05-09 23:17:17,361 DEBUG   HandlerThread:15076 [handler.py:handle_request():146] handle_request: check_version
2024-05-09 23:17:17,362 DEBUG   SenderThread:15076 [sender.py:send_request():406] send_request: check_version
2024-05-09 23:17:17,680 DEBUG   HandlerThread:15076 [handler.py:handle_request():146] handle_request: run_start
2024-05-09 23:17:17,689 DEBUG   HandlerThread:15076 [system_info.py:__init__():26] System info init
2024-05-09 23:17:17,689 DEBUG   HandlerThread:15076 [system_info.py:__init__():41] System info init done
2024-05-09 23:17:17,689 INFO    HandlerThread:15076 [system_monitor.py:start():194] Starting system monitor
2024-05-09 23:17:17,690 INFO    SystemMonitor:15076 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-05-09 23:17:17,690 INFO    HandlerThread:15076 [system_monitor.py:probe():214] Collecting system info
2024-05-09 23:17:17,695 INFO    SystemMonitor:15076 [interfaces.py:start():190] Started cpu monitoring
2024-05-09 23:17:17,696 INFO    SystemMonitor:15076 [interfaces.py:start():190] Started disk monitoring
2024-05-09 23:17:17,699 DEBUG   HandlerThread:15076 [system_info.py:probe():150] Probing system
2024-05-09 23:17:17,699 INFO    SystemMonitor:15076 [interfaces.py:start():190] Started gpu monitoring
2024-05-09 23:17:17,709 INFO    SystemMonitor:15076 [interfaces.py:start():190] Started memory monitoring
2024-05-09 23:17:17,717 INFO    SystemMonitor:15076 [interfaces.py:start():190] Started network monitoring
2024-05-09 23:17:17,718 DEBUG   HandlerThread:15076 [system_info.py:_probe_git():135] Probing git
2024-05-09 23:17:17,775 DEBUG   HandlerThread:15076 [system_info.py:_probe_git():143] Probing git done
2024-05-09 23:17:17,775 DEBUG   HandlerThread:15076 [system_info.py:probe():198] Probing system done
2024-05-09 23:17:17,775 DEBUG   HandlerThread:15076 [system_monitor.py:probe():223] {'os': 'Windows-10-10.0.22631-SP0', 'python': '3.11.4', 'heartbeatAt': '2024-05-09T20:17:17.700598', 'startedAt': '2024-05-09T20:17:11.045525', 'docker': None, 'cuda': None, 'args': (), 'state': 'running', 'program': '<python with no main file>', 'codePathLocal': None, 'git': {'remote': 'https://github.com/warik21/VideoFinder.git', 'commit': '813060277001d0f1a9c78a38976d4c3b756db77c'}, 'email': '65851326+warik21@users.noreply.github.com', 'root': 'C:/Users/eriki/OneDrive/Documents/all_folder/other_projects/VideoFinder', 'host': 'Warik', 'username': 'eriki', 'executable': 'c:\\Users\\eriki\\OneDrive\\Documents\\all_folder\\other_projects\\VideoFinder\\VFenv\\Scripts\\python.exe', 'cpu_count': 8, 'cpu_count_logical': 12, 'cpu_freq': {'current': 2100.0, 'min': 0.0, 'max': 2100.0}, 'cpu_freq_per_core': [{'current': 2100.0, 'min': 0.0, 'max': 2100.0}], 'disk': {'/': {'total': 474.71581649780273, 'used': 265.5593147277832}}, 'gpu': 'NVIDIA GeForce RTX 3050 6GB Laptop GPU', 'gpu_count': 1, 'gpu_devices': [{'name': 'NVIDIA GeForce RTX 3050 6GB Laptop GPU', 'memory_total': 6442450944}], 'memory': {'total': 15.730522155761719}}
2024-05-09 23:17:17,775 INFO    HandlerThread:15076 [system_monitor.py:probe():224] Finished collecting system info
2024-05-09 23:17:17,775 INFO    HandlerThread:15076 [system_monitor.py:probe():227] Publishing system info
2024-05-09 23:17:17,776 INFO    HandlerThread:15076 [system_monitor.py:probe():229] Finished publishing system info
2024-05-09 23:17:17,776 DEBUG   SenderThread:15076 [sender.py:send():379] send: files
2024-05-09 23:17:17,776 INFO    SenderThread:15076 [sender.py:_save_file():1390] saving file wandb-metadata.json with policy now
2024-05-09 23:17:18,080 DEBUG   HandlerThread:15076 [handler.py:handle_request():146] handle_request: python_packages
2024-05-09 23:17:18,080 DEBUG   SenderThread:15076 [sender.py:send_request():406] send_request: python_packages
2024-05-09 23:17:18,082 DEBUG   HandlerThread:15076 [handler.py:handle_request():146] handle_request: stop_status
2024-05-09 23:17:18,082 DEBUG   SenderThread:15076 [sender.py:send_request():406] send_request: stop_status
2024-05-09 23:17:18,084 DEBUG   HandlerThread:15076 [handler.py:handle_request():146] handle_request: internal_messages
2024-05-09 23:17:18,362 INFO    Thread-76 :15076 [dir_watcher.py:_on_file_created():271] file/dir created: c:\Users\eriki\OneDrive\Documents\all_folder\other_projects\VideoFinder\wandb\run-20240509_231711-59kbihd1\files\requirements.txt
2024-05-09 23:17:18,362 INFO    Thread-76 :15076 [dir_watcher.py:_on_file_created():271] file/dir created: c:\Users\eriki\OneDrive\Documents\all_folder\other_projects\VideoFinder\wandb\run-20240509_231711-59kbihd1\files\wandb-metadata.json
